site_name,carcass_id,no_scavenge,partial_scavenge,mass_kg,kg_consumed,proportion_consumed,deployment_date_time,deployment_type_AM_PM,first_scavenger_date_time,full_scavenge_date_time,hours_to_first_scavenging_event,hours_to_full_scavenge,percent_developed_1km
Seabright 2,46,FALSE,TRUE,0.133106681,0.002896680977,0.02176210056,2023-02-27T09:12:16Z,day,2023-02-27T13:15:56Z,2023-02-27T13:15:56Z,4.061111111111111,4.061111111111111,0.9202072538860104
Seabright 1,47,FALSE,FALSE,0.1198617838,0.1198617838,1,2023-02-27T16:19:58Z,night,2023-02-27T17:06:22Z,2023-02-27T17:06:22Z,0.7733333333333333,0.7733333333333333,0.9327442317133038
Seabright 2,49,FALSE,FALSE,0.1449681215,0.1449681215,1,2023-02-28T07:08:40Z,day,2023-02-28T10:40:22Z,NA,3.5283333333333333,NA,0.9202072538860104
Seabright 2,50,FALSE,FALSE,0.1266203101,0.1266203101,1,2023-02-27T17:07:14Z,night,2023-02-27T17:13:24Z,2023-02-27T17:22:22Z,0.10277777777777777,0.25222222222222224,0.9202072538860104
Waddell,52,FALSE,TRUE,0.1176845404,0.0743445404,0.6317273292,2023-02-27T17:30:04Z,night,2023-02-27T18:41:48Z,NA,1.1955555555555555,NA,0.15126050420168066
Scotts,53,FALSE,FALSE,0.1342406619,0.1342406619,1,2023-02-27T17:44:20Z,night,2023-02-28T06:53:12Z,2023-02-28T06:53:12Z,13.147777777777778,13.147777777777778,0.11151641479937469
Waddell,55,TRUE,FALSE,0.1456711896,0,0,2023-02-28T08:03:58Z,day,NA,NA,NA,NA,0.15126050420168066
Scotts,56,FALSE,FALSE,0.1137382868,0.1137382868,1,2023-02-28T08:18:14Z,day,2023-02-28T08:37:16Z,2023-02-28T08:38:30Z,0.31722222222222224,0.3377777777777778,0.11151641479937469
Blacks,61,TRUE,FALSE,0.1347622931,0,0,2023-04-03T19:18:44Z,night,NA,NA,NA,NA,0.9261904761904762
Bonny Doon,62,FALSE,TRUE,0.1307706803,0.02527068027,0.1932442365,2023-04-03T19:11:00Z,night,2023-04-03T20:24:50Z,NA,1.2305555555555556,NA,0.083596214511041
Natural Bridges,63,FALSE,FALSE,0.1209957647,0.1209957647,1,2023-04-03T19:56:26Z,night,2023-04-04T01:49:04Z,2023-04-04T01:49:04Z,5.877222222222223,5.877222222222223,0.7444134078212291
Twin Lakes,64,TRUE,FALSE,0.1712537993,0,0,2023-04-03T19:04:10Z,night,NA,NA,NA,NA,0.907163323782235
Four Mile,65,TRUE,FALSE,0.1031015457,0,0,2023-04-03T20:10:44Z,night,NA,NA,NA,NA,0.05675675675675675
Panther,66,FALSE,TRUE,0.1354653613,0.004695361301,0.03466097352,2023-04-03T19:38:36Z,night,2023-04-03T20:45:56Z,NA,1.1222222222222222,NA,0.05571428571428572
Blacks,67,TRUE,FALSE,0.1231730081,0,0,2023-04-04T07:26:04Z,day,NA,NA,NA,NA,0.9261904761904762
Twin Lakes,68,TRUE,FALSE,0.1211318424,0,0,2023-04-04T07:38:14Z,day,NA,NA,NA,NA,0.907163323782235
Natural Bridges,69,FALSE,FALSE,0.1585985722,0.1585985722,1,2023-04-04T08:05:20Z,day,2023-04-04T09:30:10Z,2023-04-04T09:31:50Z,1.413888888888889,1.4416666666666667,0.7444134078212291
Four Mile,71,FALSE,FALSE,0.1199298226,0.1199298226,1,2023-04-04T08:07:04Z,day,2023-04-04T12:57:46Z,2023-04-04T12:57:46Z,4.845,4.845,0.05675675675675675
Bonny Doon,72,FALSE,FALSE,0.1142825976,0.1142825976,1,2023-04-04T07:29:40Z,day,2023-04-04T08:25:02Z,2023-04-04T08:26:00Z,0.9227777777777778,0.9388888888888889,0.083596214511041
Panther,73,TRUE,FALSE,0.1217441921,0,0,2023-04-04T07:44:08Z,day,NA,NA,NA,NA,0.05571428571428572
Bonny Doon,74,FALSE,TRUE,0.1506833853,0.03376338531,0.2240684017,2023-04-04T16:53:38Z,night,2023-04-04T20:00:42Z,NA,3.117777777777778,NA,0.083596214511041
Four Mile,75,TRUE,FALSE,0.1325396905,0,0,2023-04-04T17:32:30Z,night,NA,NA,NA,NA,0.05675675675675675
Natural Bridges,76,FALSE,FALSE,0.1057323814,0.1057323814,1,2023-04-04T18:18:08Z,night,2023-04-04T20:45:24Z,2023-04-04T20:45:24Z,2.4544444444444444,2.4544444444444444,0.7444134078212291
Blacks,77,TRUE,FALSE,0.1072292363,0,0,2023-04-04T18:48:46Z,night,NA,NA,NA,NA,0.9261904761904762
Twin Lakes,78,TRUE,FALSE,0.1204741335,0,0,2023-04-04T19:00:24Z,night,NA,NA,NA,NA,0.907163323782235
Blacks,80,FALSE,FALSE,0.11939,0.11939,1,2023-04-05T07:32:12Z,day,2023-04-05T11:46:34Z,2023-04-05T11:49:04Z,4.239444444444445,4.2811111111111115,0.9261904761904762
Twin Lakes,81,TRUE,FALSE,0.128,0,0,2023-04-05T07:45:50Z,day,NA,NA,NA,NA,0.907163323782235
Bonny Doon,83,TRUE,FALSE,0.11359,0,0,2023-04-05T07:34:02Z,day,NA,NA,NA,NA,0.083596214511041
Panther,84,FALSE,FALSE,0.14374,0.14374,1,2023-04-05T08:01:14Z,day,2023-04-05T12:13:04Z,2023-04-05T12:13:04Z,4.197222222222222,4.197222222222222,0.05571428571428572
Four Mile,85,TRUE,FALSE,0.14747,0,0,2023-04-05T08:26:54Z,day,NA,NA,NA,NA,0.05675675675675675
Twin Lakes,86,FALSE,FALSE,0.0846,0.0846,1,2023-04-10T19:24:56Z,night,2023-04-11T06:54:48Z,2023-04-11T06:54:48Z,11.497777777777777,11.497777777777777,0.907163323782235
Natural Bridges,87,FALSE,FALSE,0.12985,0.12985,1,2023-04-05T09:14:12Z,day,2023-04-05T09:40:44Z,2023-04-05T10:11:24Z,0.44222222222222224,0.9533333333333334,0.7444134078212291
Natural Bridges,88,TRUE,FALSE,0.19272,0,0,2023-04-10T18:34:26Z,night,NA,NA,NA,NA,0.7444134078212291
Panther,89,FALSE,TRUE,0.14778,0.01608,0.1088103938,2023-04-10T19:33:32Z,night,2023-04-10T20:14:42Z,NA,0.6861111111111111,NA,0.05571428571428572
Bonny Doon,90,FALSE,TRUE,0.14941,0.02307,0.1544073355,2023-04-10T19:10:56Z,night,2023-04-10T20:06:54Z,NA,0.9327777777777778,NA,0.083596214511041
