Carcass ID,Mass (kg),Post-Deployment Mass (kg),kg consumed,Proportion consumed
180,0.1564,0,0.1564,1
181,0.14192,0,0.14192,1
182,0.1582,0,0.1582,1
183,0.10077,0,0.10077,1
184,0.12418,0,0.12418,1
185,0.12873,0,0.12873,1
186,0.12434,0,0.12434,1
187,0.13231,0,0.13231,1
188,0.11902,0,0.11902,1
189,0.09784,0,0.09784,1
190,0.1512,0.1512,0,0
191,0.1083,0,0.1083,1
192,0.1406,0,0.1406,1
193,0.12342,0,0.12342,1
194,0.10095,0,0.10095,1
195,0.16209,0,0.16209,1
196,0.11562,0.11562,0,0
197,0.11028,0,0.11028,1
198,0.1135,0,0.1135,1
199,0.12562,0,0.12562,1
200,0.16141,0,0.16141,1
201,0.13924,0.13924,0,0
202,0.11652,0,0.11652,1
203,0.1226,0.1226,0,0
